chr	pos.cM	loci	Xchr	pos.bp	pos.Kb		
1	12.64523376	X1_69681	X1	69681	69.681		
1	12.64523386	X1_69707	X1	69707	69.707		
1	12.64523396	X1_69710	X1	69710	69.71		
1	12.64523406	X1_69829	X1	69829	69.829		
1	12.64523416	X1_69844	X1	69844	69.844		
1	12.64523426	X1_69864	X1	69864	69.864		
1	12.64523436	X1_69877	X1	69877	69.877		
1	12.64523446	X1_69906	X1	69906	69.906		
1	12.64523456	X1_69926	X1	69926	69.926		
1	12.64523466	X1_69938	X1	69938	69.938		
1	12.64523476	X1_69950	X1	69950	69.95		
1	12.64523486	X1_69970	X1	69970	69.97		
1	12.64523496	X1_69978	X1	69978	69.978		
1	12.64523506	X1_70608	X1	70608	70.608		
1	12.64523516	X1_73540	X1	73540	73.54		
1	12.64523526	X1_73661	X1	73661	73.661		
1	12.64523536	X1_73663	X1	73663	73.663		
1	12.64523546	X1_73664	X1	73664	73.664		
1	12.64523556	X1_73681	X1	73681	73.681		
1	12.64523566	X1_73690	X1	73690	73.69		
1	12.64523576	X1_73745	X1	73745	73.745		
1	12.64523586	X1_73781	X1	73781	73.781		
1	12.64523596	X1_73961	X1	73961	73.961		
1	12.64523606	X1_74051	X1	74051	74.051		
1	12.64523616	X1_74053	X1	74053	74.053		
1	12.64523626	X1_74055	X1	74055	74.055		
1	12.64523636	X1_74078	X1	74078	74.078		
1	12.64523646	X1_75625	X1	75625	75.625		
1	12.64523656	X1_75656	X1	75656	75.656		
1	12.64523666	X1_76142	X1	76142	76.142		
1	12.64523676	X1_79894	X1	79894	79.894		
1	12.64523686	X1_79994	X1	79994	79.994		
1	12.64523696	X1_80000	X1	80000	80		
1	12.64523706	X1_80007	X1	80007	80.007		
1	12.64523716	X1_80010	X1	80010	80.01		
1	12.64523726	X1_80022	X1	80022	80.022		
1	12.64523736	X1_80024	X1	80024	80.024		
1	12.64523746	X1_80026	X1	80026	80.026		
1	12.64523756	X1_80031	X1	80031	80.031		
1	12.64523766	X1_80039	X1	80039	80.039		
1	12.64523776	X1_80043	X1	80043	80.043		
1	12.64523786	X1_80100	X1	80100	80.1		
1	12.64523796	X1_80932	X1	80932	80.932		
1	35.81197674	X1_81455	X1	81455	81.455		
1	35.81197684	X1_81462	X1	81462	81.462		
1	35.81197694	X1_81467	X1	81467	81.467		
1	59.57307602	X1_88276	X1	88276	88.276		
1	59.57307612	X1_90638	X1	90638	90.638		
1	59.57307622	X1_90644	X1	90644	90.644		
1	59.57307632	X1_90674	X1	90674	90.674		
1	59.57307642	X1_90677	X1	90677	90.677		
1	59.57307652	X1_90686	X1	90686	90.686		
1	59.57307662	X1_90701	X1	90701	90.701		
1	59.57307672	X1_90704	X1	90704	90.704		
1	59.57307682	X1_91396	X1	91396	91.396		
1	59.57307692	X1_91413	X1	91413	91.413		
1	59.57307702	X1_93263	X1	93263	93.263		
1	59.57307712	X1_95650	X1	95650	95.65		
1	59.57307722	X1_95662	X1	95662	95.662		
1	59.57307732	X1_95699	X1	95699	95.699		
1	59.57307742	X1_95722	X1	95722	95.722		
1	59.57307752	X1_95927	X1	95927	95.927		
1	59.94621372	X1_102467	X1	102467	102.467		
1	59.94621382	X1_102958	X1	102958	102.958		
1	59.94621392	X1_102959	X1	102959	102.959		
1	59.94621402	X1_102984	X1	102984	102.984		
1	59.94621412	X1_102985	X1	102985	102.985		
1	59.94621422	X1_107182	X1	107182	107.182		
1	59.94621432	X1_107389	X1	107389	107.389		
1	59.94621442	X1_109195	X1	109195	109.195		
1	59.94621452	X1_109625	X1	109625	109.625		
1	61.07408194	X1_114778	X1	114778	114.778		
1	61.07408204	X1_114892	X1	114892	114.892		
1	61.07408214	X1_115282	X1	115282	115.282		
1	61.07408224	X1_116486	X1	116486	116.486		
1	61.07408234	X1_116880	X1	116880	116.88		
1	61.07408244	X1_119972	X1	119972	119.972		
1	62.20194973	X1_124724	X1	124724	124.724		
1	62.20194983	X1_124730	X1	124730	124.73		
1	62.20194993	X1_126849	X1	126849	126.849		
1	62.20195003	X1_126855	X1	126855	126.855		
1	62.20195013	X1_127131	X1	127131	127.131		
1	62.20195023	X1_127291	X1	127291	127.291		
1	62.20195033	X1_128794	X1	128794	128.794		
1	62.20195043	X1_128826	X1	128826	128.826		
1	62.20195053	X1_128868	X1	128868	128.868		
1	62.20195063	X1_128895	X1	128895	128.895		
1	62.20195073	X1_129543	X1	129543	129.543		
1	62.5751802	X1_135482	X1	135482	135.482		
1	62.5751803	X1_135487	X1	135487	135.487		
1	62.5751804	X1_135488	X1	135488	135.488		
1	62.5751805	X1_135490	X1	135490	135.49		
1	62.5751806	X1_135506	X1	135506	135.506		
1	62.5751807	X1_135508	X1	135508	135.508		
1	62.5751808	X1_135512	X1	135512	135.512		
1	62.5751809	X1_135516	X1	135516	135.516		
1	62.575181	X1_135532	X1	135532	135.532		
1	62.5751811	X1_135539	X1	135539	135.539		
1	62.5751812	X1_135560	X1	135560	135.56		
1	62.5751813	X1_135596	X1	135596	135.596		
1	62.94841131	X1_135969	X1	135969	135.969		
1	62.94841141	X1_135970	X1	135970	135.97		
1	62.94841151	X1_135977	X1	135977	135.977		
1	62.94841161	X1_135981	X1	135981	135.981		
1	62.94841171	X1_136229	X1	136229	136.229		
1	62.94841181	X1_136257	X1	136257	136.257		
1	62.94841191	X1_136286	X1	136286	136.286		
1	63.32197728	X1_136546	X1	136546	136.546		
1	63.32197738	X1_136552	X1	136552	136.552		
1	63.32197748	X1_136559	X1	136559	136.559		
1	63.32197758	X1_136562	X1	136562	136.562		
1	63.69559542	X1_136577	X1	136577	136.577		
1	63.69559552	X1_136580	X1	136580	136.58		
1	63.69559562	X1_136583	X1	136583	136.583		
1	63.69559572	X1_136592	X1	136592	136.592		
1	63.69559582	X1_136620	X1	136620	136.62		
1	63.69559592	X1_136628	X1	136628	136.628		
1	63.69559602	X1_136631	X1	136631	136.631		
1	63.69559612	X1_136649	X1	136649	136.649		
1	63.69559622	X1_136983	X1	136983	136.983		
1	63.69559632	X1_136987	X1	136987	136.987		
1	63.69559642	X1_136988	X1	136988	136.988		
1	63.69559652	X1_136992	X1	136992	136.992		
1	63.69559662	X1_136997	X1	136997	136.997		
1	63.69559672	X1_137002	X1	137002	137.002		
1	63.69559682	X1_137007	X1	137007	137.007		
1	63.69559692	X1_137008	X1	137008	137.008		
1	63.69559702	X1_137020	X1	137020	137.02		
1	63.69559712	X1_137030	X1	137030	137.03		
1	63.69559722	X1_137040	X1	137040	137.04		
1	64.44512798	X1_137052	X1	137052	137.052		
1	64.44512808	X1_137059	X1	137059	137.059		
1	64.44512818	X1_137062	X1	137062	137.062		
1	64.44512828	X1_137065	X1	137065	137.065		
1	64.44512838	X1_137084	X1	137084	137.084		
1	64.44512848	X1_137102	X1	137102	137.102		
1	64.44512858	X1_137111	X1	137111	137.111		
1	64.44512868	X1_137115	X1	137115	137.115		
1	64.44512878	X1_137117	X1	137117	137.117		
1	64.44512888	X1_137118	X1	137118	137.118		
1	64.44512898	X1_137125	X1	137125	137.125		
1	64.44512908	X1_137149	X1	137149	137.149		
1	64.44512918	X1_137172	X1	137172	137.172		
1	64.44512928	X1_137314	X1	137314	137.314		
1	64.44512938	X1_137328	X1	137328	137.328		
1	64.44512948	X1_137336	X1	137336	137.336		
1	64.44512958	X1_137351	X1	137351	137.351		
1	64.44512968	X1_137356	X1	137356	137.356		
1	64.44512978	X1_137357	X1	137357	137.357		
1	64.44512988	X1_137380	X1	137380	137.38		
1	64.44512998	X1_137396	X1	137396	137.396		
1	64.44513008	X1_137420	X1	137420	137.42		
1	64.44513018	X1_137473	X1	137473	137.473		
1	64.44513028	X1_137570	X1	137570	137.57		
1	64.44513038	X1_137572	X1	137572	137.572		
1	64.44513048	X1_137587	X1	137587	137.587		
1	64.44513058	X1_137596	X1	137596	137.596		
1	64.44513068	X1_137599	X1	137599	137.599		
1	64.44513078	X1_137618	X1	137618	137.618		
1	64.44513088	X1_137619	X1	137619	137.619		
1	64.44513098	X1_137621	X1	137621	137.621		
1	64.44513108	X1_137628	X1	137628	137.628		
1	64.44513118	X1_137657	X1	137657	137.657		
1	64.44513128	X1_137658	X1	137658	137.658		
1	64.44513138	X1_137675	X1	137675	137.675		
1	64.44513148	X1_142280	X1	142280	142.28		
1	64.44513158	X1_142285	X1	142285	142.285		
1	64.44513168	X1_142294	X1	142294	142.294		
1	64.44513178	X1_142307	X1	142307	142.307		
1	64.44513188	X1_142333	X1	142333	142.333		
1	64.81868687	X1_142390	X1	142390	142.39		
1	64.81868697	X1_142430	X1	142430	142.43		
1	64.81868707	X1_142865	X1	142865	142.865		
1	64.81868717	X1_142904	X1	142904	142.904		
1	64.81868727	X1_142909	X1	142909	142.909		
1	64.81868737	X1_142920	X1	142920	142.92		
1	64.81868747	X1_142931	X1	142931	142.931		
1	64.81868757	X1_142932	X1	142932	142.932		
1	64.81868767	X1_142935	X1	142935	142.935		
1	64.81868777	X1_142936	X1	142936	142.936		
1	64.81868787	X1_142980	X1	142980	142.98		
1	64.81868797	X1_142991	X1	142991	142.991		
1	64.81868807	X1_143001	X1	143001	143.001		
1	64.81868817	X1_143002	X1	143002	143.002		
1	64.81868827	X1_143022	X1	143022	143.022		
1	64.81868837	X1_143026	X1	143026	143.026		
1	69.08529339	X1_148632	X1	148632	148.632		
1	69.08529349	X1_148635	X1	148635	148.635		
1	69.08529359	X1_149016	X1	149016	149.016		
1	69.08529369	X1_149040	X1	149040	149.04		
1	69.08529379	X1_149058	X1	149058	149.058		
1	69.08529389	X1_149061	X1	149061	149.061		
1	69.08529399	X1_149064	X1	149064	149.064		
1	69.08529409	X1_149065	X1	149065	149.065		
1	69.08529419	X1_149067	X1	149067	149.067		
1	69.08529429	X1_149070	X1	149070	149.07		
1	69.08529439	X1_149073	X1	149073	149.073		
1	69.08529449	X1_149076	X1	149076	149.076		
1	69.08529459	X1_149079	X1	149079	149.079		
1	69.08529469	X1_149083	X1	149083	149.083		
1	69.08529479	X1_149091	X1	149091	149.091		
1	69.08529489	X1_149094	X1	149094	149.094		
1	69.08529499	X1_149097	X1	149097	149.097		
1	69.08529509	X1_149100	X1	149100	149.1		
1	69.08529519	X1_149103	X1	149103	149.103		
1	69.08529529	X1_149396	X1	149396	149.396		
1	69.08529539	X1_149397	X1	149397	149.397		
1	69.08529549	X1_149405	X1	149405	149.405		
1	74.68585666	X1_150706	X1	150706	150.706		
1	75.36204115	X1_150758	X1	150758	150.758		
1	75.36204125	X1_150763	X1	150763	150.763		
1	75.36204135	X1_150772	X1	150772	150.772		
1	77.90405645	X1_150784	X1	150784	150.784		
1	77.90405655	X1_150787	X1	150787	150.787		
1	77.90405665	X1_150788	X1	150788	150.788		
1	77.90405675	X1_150792	X1	150792	150.792		
1	77.90405685	X1_150796	X1	150796	150.796		
1	77.90405695	X1_150816	X1	150816	150.816		
1	77.90405705	X1_150818	X1	150818	150.818		
1	77.90405715	X1_150820	X1	150820	150.82		
1	77.90405725	X1_150828	X1	150828	150.828		
1	77.90405735	X1_150830	X1	150830	150.83		
1	80.21941921	X1_150853	X1	150853	150.853		
1	80.21941931	X1_150856	X1	150856	150.856		
1	81.20701912	X1_150869	X1	150869	150.869		
1	81.20701922	X1_150871	X1	150871	150.871		
1	81.20701932	X1_150874	X1	150874	150.874		
1	81.20701942	X1_150885	X1	150885	150.885		
1	81.20701952	X1_150893	X1	150893	150.893		
1	81.20701962	X1_150896	X1	150896	150.896		
1	81.20701972	X1_150897	X1	150897	150.897		
1	83.48788825	X1_150913	X1	150913	150.913		
1	83.48788835	X1_150914	X1	150914	150.914		
1	85.3592312	X1_151064	X1	151064	151.064		
1	85.3592313	X1_151066	X1	151066	151.066		
1	85.3592314	X1_151070	X1	151070	151.07		
1	85.3592315	X1_151082	X1	151082	151.082		
1	85.86686142	X1_151107	X1	151107	151.107		
1	86.84035267	X1_151136	X1	151136	151.136		
1	86.84035277	X1_151156	X1	151156	151.156		
1	86.84035287	X1_151162	X1	151162	151.162		
1	86.84035297	X1_152346	X1	152346	152.346		
1	86.84035307	X1_152348	X1	152348	152.348		
1	86.84035317	X1_152359	X1	152359	152.359		
1	86.84035327	X1_152383	X1	152383	152.383		
1	86.84035337	X1_152420	X1	152420	152.42		
1	86.84035347	X1_152438	X1	152438	152.438		
1	87.21369381	X1_152481	X1	152481	152.481		
1	87.21369391	X1_152502	X1	152502	152.502		
1	87.21369401	X1_152508	X1	152508	152.508		
1	87.21369411	X1_152509	X1	152509	152.509		
1	87.21369421	X1_152510	X1	152510	152.51		
1	87.21369431	X1_152516	X1	152516	152.516		
1	87.21369441	X1_152521	X1	152521	152.521		
1	87.21369451	X1_152530	X1	152530	152.53		
1	87.58703458	X1_152808	X1	152808	152.808		
1	87.58703468	X1_152818	X1	152818	152.818		
1	87.58703478	X1_152822	X1	152822	152.822		
1	87.58703488	X1_152824	X1	152824	152.824		
1	87.58703498	X1_153003	X1	153003	153.003		
1	87.58703508	X1_153004	X1	153004	153.004		
1	87.58703518	X1_153027	X1	153027	153.027		
1	87.58703528	X1_153034	X1	153034	153.034		
1	87.58703538	X1_153038	X1	153038	153.038		
1	87.58703548	X1_153041	X1	153041	153.041		
1	87.58703558	X1_153042	X1	153042	153.042		
1	87.58703568	X1_153055	X1	153055	153.055		
1	87.58703578	X1_153057	X1	153057	153.057		
1	87.58703588	X1_153063	X1	153063	153.063		
1	87.58703598	X1_153068	X1	153068	153.068		
1	87.58703608	X1_153082	X1	153082	153.082		
1	87.58703618	X1_153084	X1	153084	153.084		
1	87.58703628	X1_153085	X1	153085	153.085		
1	87.58703638	X1_153087	X1	153087	153.087		
1	87.58703648	X1_153099	X1	153099	153.099		
1	87.58703658	X1_156483	X1	156483	156.483		
1	87.96017269	X1_158271	X1	158271	158.271		
1	87.96017279	X1_158275	X1	158275	158.275		
1	87.96017289	X1_158276	X1	158276	158.276		
1	87.96017299	X1_158287	X1	158287	158.287		
1	87.96017309	X1_158288	X1	158288	158.288		
1	87.96017319	X1_158290	X1	158290	158.29		
1	87.96017329	X1_158294	X1	158294	158.294		
1	87.96017339	X1_158297	X1	158297	158.297		
1	87.96017349	X1_158307	X1	158307	158.307		
1	87.96017359	X1_158310	X1	158310	158.31		
1	87.96017369	X1_158311	X1	158311	158.311		
1	87.96017379	X1_163668	X1	163668	163.668		
1	87.96017389	X1_166556	X1	166556	166.556		
1	87.96017399	X1_167486	X1	167486	167.486		
1	87.96017409	X1_167506	X1	167506	167.506		
1	88.33331015	X1_173419	X1	173419	173.419		
1	88.33331025	X1_173430	X1	173430	173.43		
1	88.33331035	X1_173437	X1	173437	173.437		
1	88.33331045	X1_173454	X1	173454	173.454		
1	88.33331055	X1_175140	X1	175140	175.14		
1	91.40052212	X1_180153	X1	180153	180.153		
1	91.40052222	X1_180537	X1	180537	180.537		
1	91.40052232	X1_180567	X1	180567	180.567		
1	92.53250991	X1_180642	X1	180642	180.642		
1	92.53251001	X1_180645	X1	180645	180.645		
1	92.53251011	X1_180652	X1	180652	180.652		
1	92.53251021	X1_180653	X1	180653	180.653		
1	92.53251031	X1_180654	X1	180654	180.654		
1	92.53251041	X1_180657	X1	180657	180.657		
1	93.59101447	X1_180751	X1	180751	180.751		
1	93.59101457	X1_180754	X1	180754	180.754		
1	94.64558966	X1_181017	X1	181017	181.017		
1	94.64558976	X1_191533	X1	191533	191.533		
1	94.64558986	X1_191539	X1	191539	191.539		
1	94.64558996	X1_191551	X1	191551	191.551		
1	94.64559006	X1_191566	X1	191566	191.566		
1	94.64559016	X1_191584	X1	191584	191.584		
1	95.16778892	X1_191626	X1	191626	191.626		
1	95.16778902	X1_191632	X1	191632	191.632		
1	95.16778912	X1_191635	X1	191635	191.635		
1	95.16778922	X1_191638	X1	191638	191.638		
1	95.16778932	X1_191641	X1	191641	191.641		
1	95.16778942	X1_191668	X1	191668	191.668		
1	95.16778952	X1_191671	X1	191671	191.671		
1	95.16778962	X1_191674	X1	191674	191.674		
1	95.16778972	X1_191686	X1	191686	191.686		
1	95.16778982	X1_191698	X1	191698	191.698		
1	95.54105159	X1_191713	X1	191713	191.713		
1	95.54105169	X1_191725	X1	191725	191.725		
1	95.54105179	X1_191728	X1	191728	191.728		
1	95.54105189	X1_191731	X1	191731	191.731		
1	95.54105199	X1_191734	X1	191734	191.734		
1	95.54105209	X1_191735	X1	191735	191.735		
1	95.54105219	X1_191743	X1	191743	191.743		
1	95.54105229	X1_191750	X1	191750	191.75		
1	95.54105239	X1_191751	X1	191751	191.751		
1	95.54105249	X1_191764	X1	191764	191.764		
1	95.54105259	X1_191767	X1	191767	191.767		
1	95.54105269	X1_191773	X1	191773	191.773		
1	95.54105279	X1_191776	X1	191776	191.776		
1	95.54105289	X1_191818	X1	191818	191.818		
1	95.54105299	X1_191956	X1	191956	191.956		
1	95.54105309	X1_191986	X1	191986	191.986		
1	95.54105319	X1_192052	X1	192052	192.052		
1	95.54105329	X1_192076	X1	192076	192.076		
1	95.54105339	X1_192187	X1	192187	192.187		
1	95.54105349	X1_192194	X1	192194	192.194		
1	95.54105359	X1_192208	X1	192208	192.208		
1	95.91410881	X1_192220	X1	192220	192.22		
1	95.91410891	X1_192241	X1	192241	192.241		
1	95.91410901	X1_192250	X1	192250	192.25		
1	95.91410911	X1_192262	X1	192262	192.262		
1	95.91410921	X1_192295	X1	192295	192.295		
1	95.91410931	X1_192310	X1	192310	192.31		
1	95.91410941	X1_192313	X1	192313	192.313		
1	95.91410951	X1_192337	X1	192337	192.337		
1	95.91410961	X1_192418	X1	192418	192.418		
1	95.91410971	X1_192466	X1	192466	192.466		
1	95.91410981	X1_192472	X1	192472	192.472		
1	95.91410991	X1_192478	X1	192478	192.478		
1	95.91411001	X1_192484	X1	192484	192.484		
1	95.91411011	X1_192487	X1	192487	192.487		
1	95.91411021	X1_192490	X1	192490	192.49		
1	95.91411031	X1_192502	X1	192502	192.502		
1	95.91411041	X1_192508	X1	192508	192.508		
1	95.91411051	X1_192511	X1	192511	192.511		
1	97.42402401	X1_195346	X1	195346	195.346		
1	97.42402411	X1_195349	X1	195349	195.349		
1	97.42402421	X1_195356	X1	195356	195.356		
1	97.42402431	X1_195359	X1	195359	195.359		
1	97.42402441	X1_195360	X1	195360	195.36		
1	97.42402451	X1_195366	X1	195366	195.366		
1	97.42402461	X1_195386	X1	195386	195.386		
1	97.42402471	X1_195396	X1	195396	195.396		
1	97.79776037	X1_195502	X1	195502	195.502		
1	97.79776047	X1_195509	X1	195509	195.509		
1	97.79776057	X1_195538	X1	195538	195.538		
1	97.79776067	X1_195552	X1	195552	195.552		
1	97.79776077	X1_195561	X1	195561	195.561		
1	97.79776087	X1_195562	X1	195562	195.562		
1	97.79776097	X1_195574	X1	195574	195.574		
1	97.79776107	X1_195577	X1	195577	195.577		
1	97.79776117	X1_195581	X1	195581	195.581		
1	97.79776127	X1_195582	X1	195582	195.582		
1	99.46965457	X1_195766	X1	195766	195.766		
1	99.46965467	X1_195768	X1	195768	195.768		
1	100.2224989	X1_195805	X1	195805	195.805		
1	100.222499	X1_195806	X1	195806	195.806		
1	100.2224991	X1_195816	X1	195816	195.816		
1	104.3290846	X1_200318	X1	200318	200.318		
1	104.3290847	X1_200353	X1	200353	200.353		
1	104.3290848	X1_200354	X1	200354	200.354		
1	104.3290849	X1_200358	X1	200358	200.358		
1	104.329085	X1_200405	X1	200405	200.405		
1	104.3290851	X1_200411	X1	200411	200.411		
1	104.3290852	X1_200420	X1	200420	200.42		
1	104.3290853	X1_200428	X1	200428	200.428		
1	104.3290854	X1_200430	X1	200430	200.43		
1	104.3290855	X1_200433	X1	200433	200.433		
1	104.3290856	X1_200481	X1	200481	200.481		
1	104.3290857	X1_200565	X1	200565	200.565		
1	104.3290858	X1_200568	X1	200568	200.568		
1	104.3290859	X1_200576	X1	200576	200.576		
1	104.329086	X1_200592	X1	200592	200.592		
1	104.3290861	X1_200595	X1	200595	200.595		
1	104.3290862	X1_200598	X1	200598	200.598		
1	104.3290863	X1_200607	X1	200607	200.607		
1	104.3290864	X1_200619	X1	200619	200.619		
1	104.3290865	X1_200630	X1	200630	200.63		
1	104.3290866	X1_200657	X1	200657	200.657		
1	104.3290867	X1_200658	X1	200658	200.658		
1	104.3290868	X1_201031	X1	201031	201.031		
1	104.3290869	X1_201037	X1	201037	201.037		
1	104.329087	X1_201067	X1	201067	201.067		
1	104.7024319	X1_202057	X1	202057	202.057		
1	104.702432	X1_202058	X1	202058	202.058		
1	104.7024321	X1_202060	X1	202060	202.06		
1	104.7024322	X1_202087	X1	202087	202.087		
1	104.7024323	X1_202096	X1	202096	202.096		
1	104.7024324	X1_202097	X1	202097	202.097		
1	105.0757764	X1_202360	X1	202360	202.36		
1	105.0757765	X1_202363	X1	202363	202.363		
1	105.0757766	X1_202370	X1	202370	202.37		
1	105.0757767	X1_202390	X1	202390	202.39		
1	105.0757768	X1_202399	X1	202399	202.399		
1	105.0757769	X1_202416	X1	202416	202.416		
1	105.075777	X1_202429	X1	202429	202.429		
1	105.0757771	X1_202432	X1	202432	202.432		
1	105.0757772	X1_202550	X1	202550	202.55		
1	105.0757773	X1_202574	X1	202574	202.574		
1	105.0757774	X1_202612	X1	202612	202.612		
1	105.0757775	X1_202614	X1	202614	202.614		
1	105.0757776	X1_205284	X1	205284	205.284		
1	105.0757777	X1_205372	X1	205372	205.372		
1	105.0757778	X1_205416	X1	205416	205.416		
1	105.0757779	X1_205419	X1	205419	205.419		
1	105.075778	X1_205434	X1	205434	205.434		
1	105.0757781	X1_207724	X1	207724	207.724		
1	105.0757782	X1_207769	X1	207769	207.769		
1	105.0757783	X1_208116	X1	208116	208.116		
1	105.0757784	X1_208146	X1	208146	208.146		
1	105.0757785	X1_208149	X1	208149	208.149		
1	105.0757786	X1_208155	X1	208155	208.155		
1	105.0757787	X1_208156	X1	208156	208.156		
1	105.0757788	X1_208158	X1	208158	208.158		
1	105.0757789	X1_208176	X1	208176	208.176		
1	105.075779	X1_208203	X1	208203	208.203		
1	105.0757791	X1_208209	X1	208209	208.209		
1	105.0757792	X1_208238	X1	208238	208.238		
1	105.0757793	X1_208270	X1	208270	208.27		
1	105.0757794	X1_208271	X1	208271	208.271		
1	105.0757795	X1_208276	X1	208276	208.276		
1	105.0757796	X1_208277	X1	208277	208.277		
1	105.0757797	X1_208282	X1	208282	208.282		
1	105.4492189	X1_208400	X1	208400	208.4		
1	105.449219	X1_208415	X1	208415	208.415		
1	105.4492191	X1_208434	X1	208434	208.434		
1	105.4492192	X1_208457	X1	208457	208.457		
1	105.4492193	X1_208458	X1	208458	208.458		
1	105.4492194	X1_208461	X1	208461	208.461		
1	105.8226581	X1_208465	X1	208465	208.465		
1	105.8226582	X1_208468	X1	208468	208.468		
1	105.8226583	X1_208477	X1	208477	208.477		
1	105.8226584	X1_208489	X1	208489	208.489		
1	105.8226585	X1_208515	X1	208515	208.515		
1	105.8226586	X1_208539	X1	208539	208.539		
1	105.8226587	X1_208548	X1	208548	208.548		
1	105.8226588	X1_208573	X1	208573	208.573		
1	105.8226589	X1_208598	X1	208598	208.598		
1	105.822659	X1_208677	X1	208677	208.677		
1	106.1958162	X1_211327	X1	211327	211.327		
